game_id,game_date,away_team_id,home_team_id
401817253,2025-11-08,5,152
401826927,2025-11-08,3078,16
401826922,2025-11-08,3218,2502
401826804,2025-11-08,242,2483
401824119,2025-11-08,2377,2541
401824055,2025-11-08,82,204
401829430,2025-11-08,236,2608
401823531,2025-11-08,2856,300
401824810,2025-11-08,119,248
401812261,2025-11-08,333,2599
401817229,2025-11-08,2717,150
401812660,2025-11-09,107,252
401826785,2025-11-09,8,127
401823382,2025-11-08,94,2633
401824032,2025-11-09,201,2250
401827233,2025-11-08,2016,135
401827059,2025-11-08,2896,2908
401820596,2025-11-08,163,2006
401828336,2025-11-08,338,50
401827277,2025-11-08,213,2441
401827237,2025-11-08,2229,158
401822667,2025-11-08,2182,2603
401817477,2025-11-08,2169,183
401817142,2025-11-08,58,45
401826843,2025-11-08,326,2655
401824854,2025-11-08,3134,2110
401823469,2025-11-08,276,2649
401823188,2025-11-08,2217,2885
401822309,2025-11-08,270,2747
401813435,2025-11-08,2378,2168
401813374,2025-11-08,315,2066
401812283,2025-11-08,161,2612
401829488,2025-11-08,2427,290
401829412,2025-11-08,322,251
401826725,2025-11-08,2539,235
401820210,2025-11-08,126910,2385
401822177,2025-11-08,2405,2325
401831377,2025-11-08,2590,6
401829324,2025-11-08,23,2540
401827518,2025-11-08,2210,2430
401827504,2025-11-08,2729,2450
401824824,2025-11-08,238,2116
401823865,2025-11-08,250,167
401823814,2025-11-08,3084,68
401822729,2025-11-08,2239,2751
401820550,2025-11-08,2046,2005
401819861,2025-11-08,331,38
401817465,2025-11-08,149,24
401813347,2025-11-08,2099,179
401823037,2025-11-08,2129,2379
401817518,2025-11-08,2507,259
401826977,2025-11-08,2047,2272
401823305,2025-11-08,299,278
401820823,2025-11-08,85,2086
401820622,2025-11-08,311,2619
401827757,2025-11-08,399,113
401826771,2025-11-08,2226,232
401824885,2025-11-08,2193,2506
401817173,2025-11-08,151,257
401826880,2025-11-09,2504,2724
401823451,2025-11-09,2511,222
401820485,2025-11-09,357,2627
401819906,2025-11-09,2692,254
401822994,2025-11-09,2693,2393
401828526,2025-11-09,2301,198
